State_Code,District,Type,Status,Count
UP,Ghazipur,delta7,vaccinated1,22615
UP,Ghazipur,delta7,vaccinated2,43797
UP,Ghazipur,meta,population,3622727
UP,Ghazipur,total,confirmed,21641
UP,Ghazipur,total,deceased,282
UP,Ghazipur,total,recovered,21359
UP,Ghazipur,total,tested,265737
UP,Ghazipur,total,vaccinated1,1690195
UP,Ghazipur,total,vaccinated2,509886
UP,Gonda,delta,vaccinated1,40
UP,Gonda,delta,vaccinated2,1698
UP,Gonda,delta7,vaccinated1,22042
UP,Gonda,delta7,vaccinated2,51150
UP,Gonda,meta,population,3431386
UP,Gonda,total,confirmed,12282
UP,Gonda,total,deceased,266
UP,Gonda,total,recovered,12016
UP,Gonda,total,tested,241234
UP,Gonda,total,vaccinated1,1604382
UP,Gonda,total,vaccinated2,555773
UP,Gorakhpur,delta,recovered,1
UP,Gorakhpur,delta,vaccinated1,96
UP,Gorakhpur,delta,vaccinated2,377
UP,Gorakhpur,delta21_14,confirmed,3
UP,Gorakhpur,delta7,confirmed,1
UP,Gorakhpur,delta7,recovered,4
UP,Gorakhpur,delta7,vaccinated1,33169
UP,Gorakhpur,delta7,vaccinated2,69539
UP,Gorakhpur,meta,population,4436275
UP,Gorakhpur,total,confirmed,59439
UP,Gorakhpur,total,deceased,848
UP,Gorakhpur,total,recovered,58588
UP,Gorakhpur,total,tested,480536
UP,Gorakhpur,total,vaccinated1,2347051
UP,Gorakhpur,total,vaccinated2,889085
UP,Hamirpur,delta,vaccinated1,3
UP,Hamirpur,delta7,vaccinated1,11985
UP,Hamirpur,delta7,vaccinated2,14350
UP,Hamirpur,meta,population,1104021
UP,Hamirpur,total,confirmed,5232
UP,Hamirpur,total,deceased,102
UP,Hamirpur,total,recovered,5130
UP,Hamirpur,total,tested,240382
UP,Hamirpur,total,vaccinated1,561456
UP,Hamirpur,total,vaccinated2,185949
UP,Hapur,delta,vaccinated1,127
UP,Hapur,delta,vaccinated2,307
UP,Hapur,delta7,recovered,2
UP,Hapur,delta7,vaccinated1,15823
UP,Hapur,delta7,vaccinated2,21964
UP,Hapur,meta,population,1338211
UP,Hapur,total,confirmed,12638
UP,Hapur,total,deceased,217
UP,Hapur,total,recovered,12421
UP,Hapur,total,tested,299725
UP,Hapur,total,vaccinated1,658863
UP,Hapur,total,vaccinated2,254519
UP,Hardoi,delta,vaccinated1,221
UP,Hardoi,delta,vaccinated2,594
UP,Hardoi,delta7,vaccinated1,29546
UP,Hardoi,delta7,vaccinated2,66612
UP,Hardoi,meta,population,4091380
UP,Hardoi,total,confirmed,13755
UP,Hardoi,total,deceased,349
UP,Hardoi,total,recovered,13406
UP,Hardoi,total,tested,224784
UP,Hardoi,total,vaccinated1,1852490
UP,Hardoi,total,vaccinated2,537647
UP,Hathras,delta,vaccinated2,1
UP,Hathras,delta7,vaccinated1,16507
UP,Hathras,delta7,vaccinated2,25542
UP,Hathras,meta,population,1565678
UP,Hathras,total,confirmed,2920
UP,Hathras,total,deceased,43
UP,Hathras,total,recovered,2877
UP,Hathras,total,tested,260525
UP,Hathras,total,vaccinated1,701190
UP,Hathras,total,vaccinated2,234481
UP,Jalaun,delta,vaccinated1,18
UP,Jalaun,delta,vaccinated2,30
UP,Jalaun,delta21_14,confirmed,2
UP,Jalaun,delta7,confirmed,3
UP,Jalaun,delta7,vaccinated1,14119
UP,Jalaun,delta7,vaccinated2,21614
UP,Jalaun,meta,population,1670718
UP,Jalaun,total,confirmed,11687
UP,Jalaun,total,deceased,202
UP,Jalaun,total,recovered,11482
UP,Jalaun,total,tested,221719
UP,Jalaun,total,vaccinated1,819651
UP,Jalaun,total,vaccinated2,251406
UP,Jaunpur,delta,vaccinated1,209
UP,Jaunpur,delta,vaccinated2,3689
UP,Jaunpur,delta7,recovered,2
UP,Jaunpur,delta7,vaccinated1,41689
UP,Jaunpur,delta7,vaccinated2,67101
UP,Jaunpur,meta,population,4476072
UP,Jaunpur,total,confirmed,22584
UP,Jaunpur,total,deceased,235
UP,Jaunpur,total,recovered,22349
UP,Jaunpur,total,tested,322824
UP,Jaunpur,total,vaccinated1,2189622
UP,Jaunpur,total,vaccinated2,667013
UP,Jhansi,delta,confirmed,1
UP,Jhansi,delta,vaccinated1,14
UP,Jhansi,delta,vaccinated2,14
UP,Jhansi,delta7,confirmed,1
UP,Jhansi,delta7,vaccinated1,10719
UP,Jhansi,delta7,vaccinated2,25914
UP,Jhansi,meta,population,2000755
UP,Jhansi,total,confirmed,36556
UP,Jhansi,total,deceased,663
UP,Jhansi,total,recovered,35892
UP,Jhansi,total,tested,312540
UP,Jhansi,total,vaccinated1,1132511
UP,Jhansi,total,vaccinated2,379818
UP,Kannauj,delta,vaccinated1,82
UP,Kannauj,delta,vaccinated2,431
UP,Kannauj,delta21_14,confirmed,2
UP,Kannauj,delta7,vaccinated1,24440
UP,Kannauj,delta7,vaccinated2,44639
UP,Kannauj,meta,population,1658005
UP,Kannauj,total,confirmed,9231
UP,Kannauj,total,deceased,114
UP,Kannauj,total,recovered,9115
UP,Kannauj,total,tested,124019
UP,Kannauj,total,vaccinated1,755119
UP,Kannauj,total,vaccinated2,257048
UP,Kanpur Dehat,delta,vaccinated1,47
